CO2 Emissions(g/km);Engine Size(L);Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Make;Model;Vehicle Class;Cylinders;Transmission;Fuel Type
290;3;12;9;11;AUDI;Q7 TDI (modified);SUV - STANDARD;6;AS8;D
336;4;18;11;15;AUDI;R8;TWO-SEATER;8;A7;Z
407;4;21;13;18;AUDI;R8;TWO-SEATER;8;M6;Z
347;5;18;11;15;AUDI;R8;TWO-SEATER;10;A7;Z
409;5;21;14;18;AUDI;R8;TWO-SEATER;10;M6;Z
336;4;18;11;15;AUDI;R8 SPYDER;TWO-SEATER;8;A7;Z
407;4;21;13;18;AUDI;R8 SPYDER;TWO-SEATER;8;M6;Z
347;5;18;11;15;AUDI;R8 SPYDER;TWO-SEATER;10;A7;Z
409;5;21;14;18;AUDI;R8 SPYDER;TWO-SEATER;10;M6;Z
306;4;15;11;13;AUDI;RS 5;SUBCOMPACT;8;A7;Z
308;4;15;11;13;AUDI;RS 5 CABRIOLET;SUBCOMPACT;8;A7;Z
293;4;16;9;13;AUDI;RS 7;MID-SIZE;8;AS8;Z
262;3;13;9;11;AUDI;S4;COMPACT;6;A7;Z
285;3;15;10;12;AUDI;S4;COMPACT;6;M6;Z
262;3;13;9;11;AUDI;S5;SUBCOMPACT;6;A7;Z
285;3;15;10;12;AUDI;S5;SUBCOMPACT;6;M6;Z
267;3;13;10;12;AUDI;S5 CABRIOLET;SUBCOMPACT;6;A7;Z
281;4;14;10;12;AUDI;S6;MID-SIZE;8;A7;Z
281;4;14;10;12;AUDI;S7;MID-SIZE;8;A7;Z
300;4;16;9;13;AUDI;S8;MID-SIZE;8;AS8;Z
292;3;15;10;13;AUDI;SQ5;SUV - SMALL;6;AS8;Z
209;2;10;8;9;AUDI;TT COUPE QUATTRO;SUBCOMPACT;4;A6;Z
209;2;10;8;9;AUDI;TT ROADSTER QUATTRO;TWO-SEATER;4;A6;Z
237;2;12;9;10;AUDI;TTS COUPE QUATTRO;SUBCOMPACT;4;A6;Z
237;2;12;9;10;AUDI;TTS ROADSTER QUATTRO;TWO-SEATER;4;A6;Z
314;4;16;10;13;BENTLEY;CONTINENTAL GT;SUBCOMPACT;8;AS8;Z
356;6;19;12;16;BENTLEY;CONTINENTAL GT;SUBCOMPACT;12;AS8;Z
332;4;17;10;14;BENTLEY;CONTINENTAL GTC;SUBCOMPACT;8;AS8;Z
380;6;20;12;17;BENTLEY;CONTINENTAL GTC;SUBCOMPACT;12;AS8;Z
380;6;20;12;17;BENTLEY;CONTINENTAL GT SPEED CONVERTIBLE;SUBCOMPACT;12;AS8;Z
388;6;20;12;17;BENTLEY;FLYING SPUR;MID-SIZE;12;AS8;Z
437;7;22;15;19;BENTLEY;MULSANNE;MID-SIZE;8;AS8;Z
193;2;10;7;8;BMW;320i;COMPACT;4;A8;Z
200;2;10;7;9;BMW;320i;COMPACT;4;M6;Z
202;2;10;7;9;BMW;320i xDRIVE;COMPACT;4;A8;Z
181;2;8;6;7;BMW;328d xDRIVE;COMPACT;4;A8;D
181;2;8;6;7;BMW;328d xDRIVE TOURING;STATION WAGON - SMALL;4;A8;D
193;2;10;7;8;BMW;328i;COMPACT;4;A8;Z
200;2;10;7;9;BMW;328i;COMPACT;4;M6;Z
209;2;11;7;9;BMW;328i xDRIVE;COMPACT;4;A8;Z
209;2;11;7;9;BMW;328i xDRIVE GRAN TURISMO;FULL-SIZE;4;A8;Z
209;2;11;7;9;BMW;328i xDRIVE TOURING;STATION WAGON - SMALL;4;A8;Z
221;3;11;7;10;BMW;335i;COMPACT;6;A8;Z
230;3;12;8;10;BMW;335i;COMPACT;6;M6;Z
228;3;12;8;10;BMW;335i xDRIVE;COMPACT;6;A8;Z
237;3;12;8;10;BMW;335i xDRIVE;COMPACT;6;M6;Z
232;3;12;8;10;BMW;335i xDRIVE GRAN TURISMO;FULL-SIZE;6;A8;Z
193;2;10;7;8;BMW;428i COUPE;COMPACT;4;A8;Z
200;2;10;7;9;BMW;428i COUPE;COMPACT;4;M6;Z
209;2;11;7;9;BMW;428i xDRIVE COUPE;COMPACT;4;A8;Z
221;3;11;7;10;BMW;435i COUPE;COMPACT;6;A8;Z
230;3;12;8;10;BMW;435i COUPE;COMPACT;6;M6;Z
228;3;12;8;10;BMW;435i xDRIVE COUPE;COMPACT;6;A8;Z
237;3;12;8;10;BMW;435i xDRIVE COUPE;COMPACT;6;M6;Z
202;2;10;7;9;BMW;528i;MID-SIZE;4;A8;Z
209;2;11;7;9;BMW;528i xDRIVE;MID-SIZE;4;A8;Z
213;3;9;6;8;BMW;535d xDRIVE;MID-SIZE;6;A8;D
232;3;12;8;10;BMW;535i xDRIVE;MID-SIZE;6;A8;Z
246;3;13;9;11;BMW;535i xDRIVE GRAN TURISMO;FULL-SIZE;6;A8;Z
281;4;14;10;12;BMW;550i xDRIVE;MID-SIZE;8;A8;Z
292;4;15;10;13;BMW;550i xDRIVE GRAN TURISMO;FULL-SIZE;8;A8;Z
232;3;12;8;10;BMW;640i xDRIVE GRAN COUPE;COMPACT;6;A8;Z
292;4;15;10;13;BMW;650i xDRIVE CABRIOLET;SUBCOMPACT;8;A8;Z
281;4;14;10;12;BMW;650i xDRIVE COUPE;COMPACT;8;A8;Z
292;4;15;10;13;BMW;650i xDRIVE GRAN COUPE;COMPACT;8;A8;Z
246;3;13;9;11;BMW;740Li xDRIVE;FULL-SIZE;6;A8;Z
292;4;15;10;13;BMW;750i xDRIVE;FULL-SIZE;8;A8;Z
292;4;15;10;13;BMW;750Li xDRIVE;FULL-SIZE;8;A8;Z
356;6;19;12;16;BMW;760Li;FULL-SIZE;12;A8;Z
191;3;9;7;8;BMW;ACTIVEHYBRID 3;COMPACT;6;A8;Z
214;3;11;8;9;BMW;ACTIVEHYBRID 5;MID-SIZE;6;A8;Z
212;3;11;8;9;BMW;ACTIVEHYBRID 7L;FULL-SIZE;6;A8;Z
292;4;15;10;13;BMW;ALPINA B7 xDRIVE LWB;FULL-SIZE;8;A8;Z
292;4;15;10;13;BMW;ALPINA B7 xDRIVE SWB;FULL-SIZE;8;A8;Z
338;4;17;12;15;BMW;M5;MID-SIZE;8;AM7;Z
317;4;16;11;14;BMW;M5;MID-SIZE;8;M6;Z
338;4;17;12;15;BMW;M6;COMPACT;8;AM7;Z
317;4;16;11;14;BMW;M6;COMPACT;8;M6;Z
338;4;17;12;15;BMW;M6 CABRIOLET;SUBCOMPACT;8;AM7;Z
317;4;16;11;14;BMW;M6 CABRIOLET;SUBCOMPACT;8;M6;Z
338;4;17;12;15;BMW;M6 GRAN COUPE;COMPACT;8;AM7;Z
317;4;16;11;14;BMW;M6 GRAN COUPE;COMPACT;8;M6;Z
209;2;11;7;9;BMW;X1 xDRIVE28i;SUV - SMALL;4;A8;Z
260;3;13;9;11;BMW;X1 xDRIVE35i;SUV - SMALL;6;A6;Z
230;2;11;9;10;BMW;X3 xDRIVE28i;SUV - SMALL;4;A8;Z
253;3;13;9;11;BMW;X3 xDRIVE35i;SUV - SMALL;6;A8;Z
255;3;13;9;11;BMW;X5 xDRIVE35i;SUV - STANDARD;6;A8;Z
320;4;16;11;14;BMW;X5 xDRIVE50i;SUV - STANDARD;8;A8;Z
370;4;18;14;16;BMW;X6 M;SUV - STANDARD;8;A6;Z
274;3;14;10;12;BMW;X6 xDRIVE35i;SUV - STANDARD;6;A8;Z
324;4;16;11;14;BMW;X6 xDRIVE50i;SUV - STANDARD;8;A8;Z
209;2;11;7;9;BMW;Z4 sDRIVE28i;TWO-SEATER;4;A8;Z
200;2;10;7;9;BMW;Z4 sDRIVE28i;TWO-SEATER;4;M6;Z
278;3;14;10;12;BMW;Z4 sDRIVE35i;TWO-SEATER;6;AM7;Z
253;3;13;9;11;BMW;Z4 sDRIVE35i;TWO-SEATER;6;M6;Z
278;3;14;10;12;BMW;Z4 sDRIVE35is;TWO-SEATER;6;AM7;Z
283;4;14;10;12;BUICK;ENCLAVE;SUV - STANDARD;6;A6;X
290;4;15;10;13;BUICK;ENCLAVE AWD;SUV - STANDARD;6;A6;X
196;1;10;7;9;BUICK;ENCORE;SUV - SMALL;4;AS6;X
212;1;10;8;9;BUICK;ENCORE AWD;SUV - SMALL;4;AS6;X
264;4;14;9;12;BUICK;LACROSSE;MID-SIZE;6;AS6;X
250;4;18;12;16;BUICK;LACROSSE;MID-SIZE;6;AS6;E
264;4;14;9;12;BUICK;LACROSSE AWD;MID-SIZE;6;AS6;X
264;4;19;13;17;BUICK;LACROSSE AWD;MID-SIZE;6;AS6;E
189;2;10;7;8;BUICK;LACROSSE eASSIST;MID-SIZE;4;AS6;X
228;2;12;8;10;BUICK;REGAL;MID-SIZE;4;AS6;Z
225;2;12;8;10;BUICK;REGAL;MID-SIZE;4;M6;Z
246;2;12;9;11;BUICK;REGAL AWD;MID-SIZE;4;AS6;Z
189;2;10;7;8;BUICK;REGAL eASSIST;MID-SIZE;4;AS6;X
228;2;12;8;10;BUICK;VERANO;COMPACT;4;AS6;Z
225;2;12;8;10;BUICK;VERANO;COMPACT;4;M6;Z
218;2;11;7;10;BUICK;VERANO;COMPACT;4;AS6;X
221;2;11;8;10;CADILLAC;ATS;COMPACT;4;AS6;Z
235;2;12;8;10;CADILLAC;ATS;COMPACT;4;M6;Z
207;3;11;7;9;CADILLAC;ATS;COMPACT;4;AS6;X
251;4;13;9;11;CADILLAC;ATS;COMPACT;6;AS6;X
232;2;12;8;10;CADILLAC;ATS AWD;COMPACT;4;AS6;Z
260;4;13;9;11;CADILLAC;ATS AWD;COMPACT;6;AS6;X
258;4;13;9;11;CADILLAC;CTS COUPE;MID-SIZE;6;AS6;X
262;4;13;9;11;CADILLAC;CTS COUPE AWD;MID-SIZE;6;AS6;X
232;2;12;8;10;CADILLAC;CTS SEDAN;MID-SIZE;4;AS6;Z
248;4;13;8;11;CADILLAC;CTS SEDAN;MID-SIZE;6;AS8;X
248;2;13;9;11;CADILLAC;CTS SEDAN AWD;MID-SIZE;4;AS6;Z
260;4;13;9;11;CADILLAC;CTS SEDAN AWD;MID-SIZE;6;AS6;X
294;4;15;10;13;CADILLAC;CTS SEDAN Vsport;MID-SIZE;6;AS8;Z
253;3;13;9;11;CADILLAC;CTS SPORT WAGON;STATION WAGON - SMALL;6;AS6;X
260;4;13;9;11;CADILLAC;CTS SPORT WAGON;STATION WAGON - SMALL;6;AS6;X
255;3;13;9;11;CADILLAC;CTS SPORT WAGON AWD;STATION WAGON - SMALL;6;AS6;X
262;4;13;9;11;CADILLAC;CTS SPORT WAGON AWD;STATION WAGON - SMALL;6;AS6;X
382;6;20;13;17;CADILLAC;CTS-V COUPE;MID-SIZE;8;AS6;Z
340;6;17;13;15;CADILLAC;CTS-V COUPE;MID-SIZE;8;M6;Z
382;6;20;13;17;CADILLAC;CTS-V SEDAN;MID-SIZE;8;AS6;Z
340;6;17;13;15;CADILLAC;CTS-V SEDAN;MID-SIZE;8;M6;Z
382;6;20;13;17;CADILLAC;CTS-V SPORT WAGON;STATION WAGON - SMALL;8;AS6;Z
340;6;17;13;15;CADILLAC;CTS-V SPORT WAGON;STATION WAGON - SMALL;8;M6;Z
338;6;17;12;15;CADILLAC;ESCALADE AWD;SUV - STANDARD;8;A6;Z
322;6;23;16;20;CADILLAC;ESCALADE AWD;SUV - STANDARD;8;A6;E
377;6;19;13;16;CADILLAC;ESCALADE ESV AWD;SUV - STANDARD;8;A6;Z
354;6;26;18;22;CADILLAC;ESCALADE ESV AWD;SUV - STANDARD;8;A6;E
283;4;14;10;12;CADILLAC;SRX;SUV - STANDARD;6;AS6;X
294;4;15;10;13;CADILLAC;SRX AWD;SUV - STANDARD;6;AS6;X
262;4;14;9;11;CADILLAC;XTS;FULL-SIZE;6;AS6;X
271;4;14;9;12;CADILLAC;XTS AWD;FULL-SIZE;6;AS6;X
290;4;15;10;13;CADILLAC;XTS Vsport AWD;FULL-SIZE;6;AS6;Z
258;4;13;9;11;CHEVROLET;CAMARO;COMPACT;6;AS6;X
269;4;14;9;12;CHEVROLET;CAMARO;COMPACT;6;M6;X
242;4;13;8;11;CHEVROLET;CAMARO 2LS;COMPACT;6;AS6;X
294;6;15;10;13;CHEVROLET;CAMARO SS;COMPACT;8;AS6;Z
292;6;15;10;13;CHEVROLET;CAMARO SS;COMPACT;8;M6;Z
382;6;20;13;17;CHEVROLET;CAMARO ZL1;COMPACT;8;AS6;Z
340;6;17;13;15;CHEVROLET;CAMARO ZL1;COMPACT;8;M6;Z
276;6;15;9;12;CHEVROLET;CORVETTE;TWO-SEATER;8;AS6;Z
258;6;14;8;11;CHEVROLET;CORVETTE;TWO-SEATER;8;M7;Z
179;1;9;6;8;CHEVROLET;CRUZE;MID-SIZE;4;AS6;X
179;1;9;6;8;CHEVROLET;CRUZE;MID-SIZE;4;M6;X
202;2;11;7;9;CHEVROLET;CRUZE;MID-SIZE;4;AS6;X
189;2;10;7;8;CHEVROLET;CRUZE;MID-SIZE;4;M6;X
192;2;9;5;7;CHEVROLET;CRUZE DIESEL;MID-SIZE;4;AS6;D
177;1;9;6;8;CHEVROLET;CRUZE ECO;MID-SIZE;4;A6;X
163;1;8;6;7;CHEVROLET;CRUZE ECO;MID-SIZE;4;M6;X
209;2;11;7;9;CHEVROLET;EQUINOX;SUV - SMALL;4;A6;X
276;4;14;10;12;CHEVROLET;EQUINOX;SUV - SMALL;6;A6;X
259;4;19;13;16;CHEVROLET;EQUINOX;SUV - SMALL;6;A6;E
230;2;12;8;10;CHEVROLET;EQUINOX AWD;SUV - SMALL;4;A6;X
290;4;15;10;13;CHEVROLET;EQUINOX AWD;SUV - SMALL;6;A6;X
272;4;20;14;17;CHEVROLET;EQUINOX AWD;SUV - SMALL;6;A6;E
347;4;17;13;15;CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;6;A4;X
366;5;18;13;16;CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;8;A4;X
334;5;24;18;21;CHEVROLET;EXPRESS 1500 CARGO;VAN - CARGO;8;A4;E
380;5;18;14;17;CHEVROLET;EXPRESS 1500 CARGO AWD;VAN - CARGO;8;A4;X
344;5;24;19;22;CHEVROLET;EXPRESS 1500 CARGO AWD;VAN - CARGO;8;A4;E
380;5;19;14;17;CHEVROLET;EXPRESS 1500 CARGO CONV;VAN - CARGO;8;A4;X
344;5;24;19;22;CHEVROLET;EXPRESS 1500 CARGO CONV;VAN - CARGO;8;A4;E
380;5;18;14;17;CHEVROLET;EXPRESS 1500 CARGO CONV AWD;VAN - CARGO;8;A4;X
362;5;25;19;23;CHEVROLET;EXPRESS 1500 CARGO CONV AWD;VAN - CARGO;8;A4;E
380;5;19;14;17;CHEVROLET;EXPRESS 1500 PASSENGER;VAN - PASSENGER;8;A4;X
344;5;24;19;22;CHEVROLET;EXPRESS 1500 PASSENGER;VAN - PASSENGER;8;A4;E
380;5;18;14;17;CHEVROLET;EXPRESS 1500 PASSENGER AWD;VAN - PASSENGER;8;A4;X
362;5;25;19;23;CHEVROLET;EXPRESS 1500 PASSENGER AWD;VAN - PASSENGER;8;A4;E
414;5;21;14;18;CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;8;A6;X
432;6;22;15;19;CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;8;A6;X
411;6;30;20;26;CHEVROLET;EXPRESS 2500 PASSENGER;VAN - PASSENGER;8;A6;E
419;5;21;14;18;CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;8;A6;X
435;6;22;15;19;CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;8;A6;X
413;6;30;21;26;CHEVROLET;EXPRESS 3500 PASSENGER;VAN - PASSENGER;8;A6;E
221;3;11;8;10;CHEVROLET;IMPALA;FULL-SIZE;4;AS6;X
244;4;13;8;11;CHEVROLET;IMPALA;FULL-SIZE;6;AS6;X
229;4;17;11;14;CHEVROLET;IMPALA;FULL-SIZE;6;AS6;E
200;2;10;7;9;CHEVROLET;IMPALA ECO;FULL-SIZE;4;AS6;X
228;2;12;8;10;CHEVROLET;MALIBU;MID-SIZE;4;AS6;Z
184;3;9;6;8;CHEVROLET;MALIBU;MID-SIZE;4;AS6;X
244;2;12;9;11;CHEVROLET;ORLANDO;SUV - SMALL;4;AS6;X
235;2;12;8;10;CHEVROLET;ORLANDO;SUV - SMALL;4;M6;X
271;4;13;10;12;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;6;A6;X
269;4;19;14;17;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;6;A6;E
292;5;15;10;13;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A6;X
270;5;20;14;17;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A6;E
324;6;16;11;14;CHEVROLET;SILVERADO;PICKUP TRUCK - STANDARD;8;A6;Z
290;4;14;11;13;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;6;A6;X
285;4;20;15;18;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;6;A6;E
299;5;15;11;13;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A6;X
277;5;20;14;17;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A6;E
329;6;16;12;14;CHEVROLET;SILVERADO 4WD;PICKUP TRUCK - STANDARD;8;A6;Z
184;1;9;7;8;CHEVROLET;SONIC;COMPACT;4;AS6;X
173;1;9;6;8;CHEVROLET;SONIC;COMPACT;4;M6;X
191;2;10;7;8;CHEVROLET;SONIC;COMPACT;4;AS6;X
182;2;9;7;8;CHEVROLET;SONIC;COMPACT;4;M5;X
191;1;9;7;8;CHEVROLET;SONIC RS;COMPACT;4;AS6;X
184;1;9;7;8;CHEVROLET;SONIC RS;COMPACT;4;M6;X
184;1;9;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;AS6;X
172;1;9;6;8;CHEVROLET;SONIC 5;MID-SIZE;4;M6;X
191;2;10;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;AS6;X
182;2;9;7;8;CHEVROLET;SONIC 5;MID-SIZE;4;M5;X
191;1;9;7;8;CHEVROLET;SONIC 5 RS;MID-SIZE;4;AS6;X
184;1;9;7;8;CHEVROLET;SONIC 5 RS;MID-SIZE;4;M6;X
159;1;8;6;7;CHEVROLET;SPARK;SUBCOMPACT;4;AV;X
159;1;8;6;7;CHEVROLET;SPARK;SUBCOMPACT;4;M5;X
317;5;16;11;14;CHEVROLET;SUBURBAN;SUV - STANDARD;8;A6;X
294;5;22;15;18;CHEVROLET;SUBURBAN;SUV - STANDARD;8;A6;E
317;5;16;11;14;CHEVROLET;SUBURBAN 4WD;SUV - STANDARD;8;A6;X
294;5;22;15;18;CHEVROLET;SUBURBAN 4WD;SUV - STANDARD;8;A6;E
317;5;16;11;14;CHEVROLET;TAHOE;SUV - STANDARD;8;A6;X
294;5;22;15;18;CHEVROLET;TAHOE;SUV - STANDARD;8;A6;E
317;5;16;11;14;CHEVROLET;TAHOE 4WD;SUV - STANDARD;8;A6;X
294;5;22;15;18;CHEVROLET;TAHOE 4WD;SUV - STANDARD;8;A6;E
283;4;14;10;12;CHEVROLET;TRAVERSE;SUV - STANDARD;6;A6;X
290;4;15;10;13;CHEVROLET;TRAVERSE AWD;SUV - STANDARD;6;A6;X
193;1;9;7;8;CHEVROLET;TRAX;SUV - SMALL;4;AS6;X
186;1;9;7;8;CHEVROLET;TRAX;SUV - SMALL;4;M6;X
207;1;10;8;9;CHEVROLET;TRAX AWD;SUV - SMALL;4;AS6;X
237;4;12;8;10;CHRYSLER;300;FULL-SIZE;6;A8;X
232;2;12;8;10;CHRYSLER;200 CONVERTIBLE;COMPACT;4;A4;X
246;2;13;8;11;CHRYSLER;200 CONVERTIBLE;COMPACT;4;A6;X
242;4;13;8;11;CHRYSLER;200 CONVERTIBLE FFV;COMPACT;6;A6;X
230;4;17;11;14;CHRYSLER;200 CONVERTIBLE FFV;COMPACT;6;A6;E
225;2;11;8;10;CHRYSLER;200 SEDAN;MID-SIZE;4;A4;X
230;2;12;8;10;CHRYSLER;200 SEDAN;MID-SIZE;4;A6;X
242;4;13;8;11;CHRYSLER;200 SEDAN FFV;MID-SIZE;6;A6;X
230;4;17;11;14;CHRYSLER;200 SEDAN FFV;MID-SIZE;6;A6;E
294;6;16;9;13;CHRYSLER;300 (MDS);FULL-SIZE;8;A5;X
251;4;13;9;11;CHRYSLER;300 AWD;FULL-SIZE;6;A8;X
308;6;16;10;13;CHRYSLER;300 AWD (MDS);FULL-SIZE;8;A5;X
251;4;13;9;11;CHRYSLER;300 AWD FFV;FULL-SIZE;6;A8;X
237;4;17;12;15;CHRYSLER;300 AWD FFV;FULL-SIZE;6;A8;E
237;4;12;8;10;CHRYSLER;300 FFV;FULL-SIZE;6;A8;X
222;4;17;10;14;CHRYSLER;300 FFV;FULL-SIZE;6;A8;E
317;6;17;10;14;CHRYSLER;300 SRT (MDS);FULL-SIZE;8;A5;Z
276;4;14;10;12;CHRYSLER;TOWN & COUNTRY FFV;MINIVAN;6;A6;X
269;4;20;13;17;CHRYSLER;TOWN & COUNTRY FFV;MINIVAN;6;A6;E
225;2;11;8;10;DODGE;AVENGER;MID-SIZE;4;A4;X
230;2;12;8;10;DODGE;AVENGER;MID-SIZE;4;A6;X
242;4;13;8;11;DODGE;AVENGER FFV;MID-SIZE;6;A6;X
230;4;17;11;14;DODGE;AVENGER FFV;MID-SIZE;6;A6;E
258;4;13;9;11;DODGE;CHALLENGER;MID-SIZE;6;A5;X
301;6;16;10;13;DODGE;CHALLENGER;MID-SIZE;8;M6;X
294;6;16;9;13;DODGE;CHALLENGER (MDS);MID-SIZE;8;A5;X
320;6;17;10;14;DODGE;CHALLENGER SRT;MID-SIZE;8;M6;Z
317;6;17;10;14;DODGE;CHALLENGER SRT (MDS);MID-SIZE;8;A5;Z
258;4;13;9;11;DODGE;CHARGER;FULL-SIZE;6;A5;X
237;4;12;8;10;DODGE;CHARGER;FULL-SIZE;6;A8;X
294;6;16;9;13;DODGE;CHARGER (MDS);FULL-SIZE;8;A5;X
251;4;13;9;11;DODGE;CHARGER AWD;FULL-SIZE;6;A8;X
308;6;16;10;13;DODGE;CHARGER AWD (MDS);FULL-SIZE;8;A5;X
251;4;13;9;11;DODGE;CHARGER AWD FFV;FULL-SIZE;6;A8;X
237;4;17;12;15;DODGE;CHARGER AWD FFV;FULL-SIZE;6;A8;E
258;4;13;9;11;DODGE;CHARGER FFV;FULL-SIZE;6;A5;X
251;4;18;13;16;DODGE;CHARGER FFV;FULL-SIZE;6;A5;E
235;4;12;8;10;DODGE;CHARGER FFV;FULL-SIZE;6;A8;X
222;4;17;10;14;DODGE;CHARGER FFV;FULL-SIZE;6;A8;E
317;6;17;10;14;DODGE;CHARGER SRT (MDS);FULL-SIZE;8;A5;Z
186;2;9;7;8;DODGE;DART;MID-SIZE;4;M6;X
198;2;10;7;9;DODGE;DART;MID-SIZE;4;A6;X
202;2;11;7;9;DODGE;DART;MID-SIZE;4;M6;X
198;2;10;7;9;DODGE;DART FFV;MID-SIZE;4;A6;X
195;2;14;10;12;DODGE;DART FFV;MID-SIZE;4;A6;E
212;2;11;8;9;DODGE;DART GT;MID-SIZE;4;A6;X
202;2;10;7;9;DODGE;DART GT;MID-SIZE;4;M6;X
168;1;8;6;7;DODGE;DART TURBO AERO;MID-SIZE;4;AM6;X
168;1;9;6;7;DODGE;DART TURBO AERO;MID-SIZE;4;M6;X
331;6;17;11;14;DODGE;DURANGO AWD (MDS);SUV - STANDARD;8;A8;X
278;4;14;10;12;DODGE;DURANGO AWD FFV;SUV - STANDARD;6;A8;X
250;4;18;13;16;DODGE;DURANGO AWD FFV;SUV - STANDARD;6;A8;E
271;4;14;9;12;DODGE;GRAND CARAVAN FFV;MINIVAN;6;A6;X
264;4;19;13;17;DODGE;GRAND CARAVAN FFV;MINIVAN;6;A6;E
